127.0.0.1 - - [09/Oct/2025:13:38:05 +0200] "GET / HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [09/Oct/2025:13:38:35 +0200] "GET /Projekt/index.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Oct/2025:13:38:35 +0200] "GET /Projekt/benutzer.jsp HTTP/1.1" 200 7901
0:0:0:0:0:0:0:1 - - [09/Oct/2025:13:38:35 +0200] "GET /Projekt/js/jquery-3.7.1.min.js HTTP/1.1" 200 87535
0:0:0:0:0:0:0:1 - - [09/Oct/2025:13:38:35 +0200] "GET /Projekt/js/login.js HTTP/1.1" 200 3144
0:0:0:0:0:0:0:1 - - [09/Oct/2025:13:38:35 +0200] "GET /Projekt/css/login.css HTTP/1.1" 200 18799
0:0:0:0:0:0:0:1 - - [09/Oct/2025:13:38:36 +0200] "GET /favicon.ico HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [09/Oct/2025:13:38:39 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [09/Oct/2025:13:38:48 +0200] "POST /Projekt/auth/anmeldung HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Oct/2025:13:38:48 +0200] "GET /Projekt/login.jsp?uid=58&versuch=1 HTTP/1.1" 200 2243
0:0:0:0:0:0:0:1 - - [09/Oct/2025:13:38:48 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [09/Oct/2025:13:38:50 +0200] "GET /Projekt/benutzer.jsp HTTP/1.1" 200 7901
0:0:0:0:0:0:0:1 - - [09/Oct/2025:13:38:50 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [09/Oct/2025:13:38:52 +0200] "POST /Projekt/auth/anmeldung HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Oct/2025:13:38:52 +0200] "GET /Projekt/login.jsp?uid=1&versuch=1 HTTP/1.1" 200 2242
0:0:0:0:0:0:0:1 - - [09/Oct/2025:13:38:52 +0200] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [09/Oct/2025:13:38:55 +0200] "POST /Projekt/auth/anmeldung HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Oct/2025:13:38:55 +0200] "GET /Projekt/login.jsp?uid=1&versuch=3 HTTP/1.1" 200 2423
